iter	MultiClass	WKappa
0	1.504724717	0.4134574531
1	1.417601811	0.451320045
2	1.325410857	0.4881565076
3	1.298104776	0.4968964135
4	1.27765167	0.5084951134
5	1.260420579	0.5126990729
6	1.245315265	0.5191625519
7	1.23769655	0.5203857479
8	1.231281676	0.5268171599
9	1.22566849	0.5295503892
10	1.209249905	0.5365896407
11	1.202807577	0.5388140436
12	1.198183439	0.5403785189
13	1.189428153	0.5431935813
14	1.184396454	0.5465464923
15	1.179875386	0.5484102848
16	1.172014182	0.5493999901
17	1.167307189	0.5526971241
18	1.164055619	0.5547800682
19	1.159553669	0.557593842
20	1.152449122	0.5562540483
21	1.146580909	0.559520916
22	1.138804304	0.561814399
23	1.133853503	0.5649520762
24	1.127108456	0.5667109798
25	1.121260493	0.5671592486
26	1.117407858	0.5689445677
27	1.112741257	0.5700034332
28	1.110022532	0.5716203873
29	1.104552695	0.5718089777
30	1.101803164	0.5733042607
31	1.09804921	0.5761568786
32	1.09552946	0.5788113031
33	1.09200219	0.5800667787
34	1.089059673	0.581234373
35	1.085394068	0.5825656242
36	1.081882609	0.5846858295
37	1.077212054	0.5876248932
38	1.074504222	0.5896048402
39	1.072353184	0.5898664249
40	1.069760419	0.5903891236
41	1.06737294	0.5913112415
42	1.06387098	0.5935997946
43	1.062280741	0.5947832378
44	1.05949536	0.5963822543
45	1.055640218	0.5993880346
46	1.051984832	0.6018167276
47	1.050530601	0.6028650772
48	1.047623499	0.6044498714
49	1.045276344	0.6057151248
50	1.042409532	0.608073153
51	1.042168039	0.6083671229
52	1.042031869	0.6084631265
53	1.037976188	0.6095396713
54	1.033903938	0.6097961549
55	1.031303668	0.6109215297
56	1.028032794	0.6113379016
57	1.025920526	0.611630791
58	1.023740347	0.6133880728
59	1.019528492	0.6151797676
60	1.01821444	0.6169244912
61	1.01537081	0.6176204777
62	1.011835759	0.6188351399
63	1.009730788	0.620709984
64	1.005870422	0.62239775
65	1.005081775	0.6216872809
66	1.002336772	0.6221710567
67	0.9990784212	0.6244284065
68	0.9964096599	0.6258170925
69	0.9951881833	0.6266138065
70	0.9920383682	0.6277172757
71	0.9887427804	0.6297076862
72	0.9860577032	0.6295558118
73	0.9831890748	0.629778086
74	0.9810698615	0.6321096262
75	0.9791153623	0.6322523922
76	0.9774079172	0.6331777682
77	0.9756244351	0.6339355097
78	0.9745705574	0.6343712933
79	0.9714775719	0.6366053774
80	0.9700125227	0.6361447576
81	0.9683358717	0.6373568997
82	0.9664742465	0.6389628682
83	0.9642148178	0.6402924888
84	0.9618816395	0.6409496481
85	0.9601241121	0.6428221317
86	0.9589723289	0.6431105504
87	0.9561506905	0.6442489115
88	0.9541752445	0.6445800272
89	0.9527753323	0.645495385
90	0.9510754293	0.6450216446
91	0.9492554684	0.6461734463
92	0.947248969	0.6473871068
93	0.9472059852	0.6474041594
94	0.9440934092	0.6498783472
95	0.9420471443	0.6486389937
96	0.9395503998	0.6501874782
97	0.9382685852	0.6514264152
98	0.9361428743	0.6531971033
99	0.9347164968	0.6545291865
