iter	Passed	Remaining
0	877	86871
1	1666	81661
2	2567	83020
3	3574	85786
4	4467	84886
5	5249	82234
6	6150	81710
7	7105	81709
8	8014	81033
9	8827	79449
10	9900	80103
11	11040	80963
12	12104	81007
13	12873	79078
14	13807	78243
15	14711	77232
16	15514	75745
17	16381	74626
18	17285	73689
19	18351	73404
20	19133	71977
21	20022	70987
22	20910	70003
23	21822	69105
24	22598	67795
25	23489	66853
26	24381	65919
27	25158	64693
28	26062	63809
29	26938	62856
30	27734	61732
31	28635	60850
32	29518	59931
33	30297	58812
34	31344	58210
35	32274	57376
36	33222	56568
37	33992	55460
38	34914	54609
39	35821	53732
40	36785	52934
41	37588	51907
42	38519	51060
43	39446	50205
44	40270	49219
45	41204	48369
46	42143	47523
47	43069	46658
48	43927	45720
49	44767	44767
50	45675	43884
51	46609	43024
52	47458	42085
53	48344	41182
54	49280	40320
55	50232	39468
56	51030	38496
57	51943	37614
58	52841	36720
59	53621	35747
60	54547	34874
61	55504	34018
62	56427	33139
63	57246	32201
64	58158	31315
65	59134	30463
66	59950	29527
67	60842	28631
68	61773	27753
69	62725	26882
70	63550	25957
71	64467	25070
72	65396	24187
73	66734	23447
74	68116	22705
75	69340	21897
76	70487	21054
77	71281	20105
78	72334	19228
79	73423	18355
80	74537	17484
81	75623	16600
82	76633	15695
83	77580	14777
84	79309	13995
85	80565	13115
86	81747	12215
87	83693	11412
88	84982	10503
89	86300	9588
90	87098	8614
91	88217	7671
92	89368	6726
93	90449	5773
94	91796	4831
95	93023	3875
96	94000	2907
97	94929	1937
98	95740	967
99	96663	0
