iter	Passed	Remaining
0	512	5122817
1	938	4691550
2	1558	5192364
3	1975	4936481
4	2634	5266121
5	3118	5193604
6	3407	4863936
7	3850	4808901
8	4157	4615649
9	4495	4490532
10	5034	4571968
11	5400	4494889
12	5715	4390511
13	6108	4357356
14	6460	4300271
15	6916	4316128
16	7259	4262804
17	7720	4281722
18	8099	4254779
19	8533	4258023
20	8968	4261533
21	9313	4224201
22	9645	4184212
23	10054	4179441
24	10385	4143810
25	10726	4114812
26	11165	4124127
27	11539	4109800
28	11914	4096373
29	12295	4086266
30	12610	4055237
31	12969	4039943
32	13315	4021794
33	13792	4042949
34	14129	4022802
35	14485	4009397
36	14942	4023655
37	15289	4008222
38	15639	3994476
39	16072	4002094
40	16417	3987829
41	16724	3965403
42	17177	3977581
43	17566	3974766
44	17865	3952317
45	18179	3933954
46	18616	3942277
47	18962	3931546
48	19267	3912873
49	19716	3923603
50	20000	3901624
51	20348	3892754
52	20679	3881187
53	21096	3885578
54	21503	3888224
55	21828	3876177
56	22277	3886002
57	22590	3872395
58	22920	3861887
59	23358	3869690
60	23720	3864915
61	24109	3864493
62	24563	3874375
63	24869	3860924
64	25235	3857096
65	25637	3858793
66	26011	3856263
67	26433	3860918
68	26822	3860548
69	27167	3853907
70	27487	3844018
71	27887	3845408
72	28231	3839036
73	28522	3825837
74	28950	3831124
75	29328	3829714
76	29589	3813183
77	29966	3811864
78	30284	3803170
79	30629	3798063
80	30960	3791281
81	31354	3792321
82	31733	3791588
83	32107	3790171
84	32494	3790423
85	32826	3784161
86	33118	3773643
87	33429	3765351
88	33795	3763440
89	34143	3759565
90	34487	3755312
91	34767	3744351
92	35153	3744814
93	35445	3735340
94	35853	3738165
95	36186	3733199
96	36522	3728665
97	36909	3729340
98	37303	3730706
99	37612	3723644
100	37911	3715699
101	38275	3714230
102	38599	3708922
103	38927	3704085
104	39362	3709479
105	39614	3697572
106	39907	3689796
107	40254	3686995
108	40612	3685321
109	40950	3681818
110	41264	3676298
111	41568	3669943
112	42036	3678021
113	42491	3684795
114	42916	3688976
115	44282	3773187
116	44803	3784523
117	45376	3800121
118	45935	3814175
119	46377	3818403
120	47020	3838982
121	47493	3845445
122	48241	3873827
123	48777	3884906
124	49431	3905103
125	50040	3921455
126	50607	3934222
127	51188	3947903
128	51704	3956421
129	52315	3971915
130	53026	3994825
131	54123	4046170
132	54631	4052965
133	55231	4066514
134	55664	4067652
135	56170	4074047
136	56638	4077590
137	57061	4077799
138	57494	4078775
139	57831	4072957
140	58153	4066236
141	58512	4062060
142	58885	4058983
143	59298	4058650
144	59632	4052920
145	59934	4045199
146	60264	4039377
147	60586	4033090
148	60852	4023179
149	61208	4019374
150	61591	4017328
151	61971	4015099
152	62299	4009591
153	62609	4002958
154	62999	4001487
155	63337	3996729
156	63677	3992204
157	64166	3997008
158	64663	4002210
159	65065	4001500
160	65399	3996707
161	65742	3992420
162	66179	3993919
163	66474	3986824
164	66770	3979928
165	67035	3971232
166	67405	3968874
167	67746	3964809
168	68039	3957974
169	68345	3951972
170	68735	3950878
171	69107	3948780
172	69460	3945581
173	69955	3950495
174	70405	3952741
175	70812	3952609
176	71302	3957074
177	71683	3955502
178	72104	3956097
179	72515	3956136
180	72812	3949978
181	73091	3942904
182	73421	3938686
183	73783	3936183
184	74104	3931523
185	74537	3932841
186	74931	3932087
187	75256	3927752
188	75607	3924766
189	75903	3919020
190	76241	3915442
191	76545	3910222
192	76961	3910699
193	77312	3907885
194	77628	3903345
195	78036	3903421
196	78374	3900041
197	78667	3894428
198	78957	3888769
199	79309	3886148
200	79733	3887094
201	80174	3888867
202	80460	3883105
203	80781	3879084
204	81071	3873633
205	81437	3871848
206	81702	3865298
207	81995	3860081
208	82288	3854944
209	82621	3851757
210	83006	3850933
211	83314	3846608
212	83696	3845701
213	84030	3842642
214	84287	3836059
215	84571	3830772
216	84956	3830105
217	85325	3828687
218	85588	3822557
219	85910	3819125
220	86341	3820499
221	86676	3817651
222	86970	3813056
223	87323	3811042
224	87672	3808863
225	88001	3805873
226	88381	3805084
227	88701	3801724
228	89040	3799172
229	89432	3798928
230	89922	3802818
231	90398	3806094
232	90914	3811003
233	91385	3813998
234	91901	3818804
235	92303	3818860
236	92639	3816213
237	93048	3816566
238	93393	3814304
239	93718	3811230
240	94229	3815707
241	94589	3814058
242	94920	3811286
243	95297	3810326
244	95579	3805641
245	95869	3801253
246	96195	3798343
247	96576	3797639
248	96890	3794278
249	97200	3790812
250	97558	3789250
251	97848	3785047
252	98165	3781904
253	98516	3780069
254	98856	3777865
255	99203	3775948
256	99524	3773007
257	99828	3769508
258	100151	3766705
259	100515	3765474
260	100880	3764287
261	101239	3762868
262	101633	3762768
263	101922	3758767
264	102270	3756981
265	102584	3753970
266	102896	3750911
267	103166	3746324
268	103529	3745167
269	103901	3744295
270	104267	3743255
271	104622	3741789
272	104928	3738603
273	105201	3734258
274	105734	3739159
275	106207	3741884
276	106639	3743163
277	107125	3746323
278	107521	3746294
279	107820	3742928
280	108172	3741396
281	108541	3740451
282	108822	3736486
283	109180	3735209
284	109527	3733529
285	109885	3732280
286	110201	3729559
287	110568	3728630
288	110939	3727811
289	111254	3725114
290	111634	3724596
291	111982	3723045
292	112237	3718384
293	112605	3717498
294	112892	3713970
295	113261	3713124
296	113636	3712508
297	113970	3710530
298	114383	3711139
299	114791	3711587
300	115119	3709454
301	115425	3706602
302	115766	3704902
303	116111	3703338
304	116500	3703179
305	117053	3708234
306	117470	3708940
307	117828	3707763
308	118156	3705675
309	118491	3703801
310	118781	3700550
311	119118	3698779
312	119463	3697247
313	119759	3694233
314	120070	3691676
315	120392	3689510
316	120759	3688680
317	121131	3688026
318	121424	3684977
319	121794	3684290
320	122103	3681729
321	122513	3682241
322	122924	3682797
323	123243	3680576
324	123577	3678811
325	123898	3676674
326	124257	3675661
327	124509	3671498
328	124842	3669761
329	125206	3668921
330	125512	3666420
331	125848	3664771
332	126169	3662711
333	126495	3660780
334	126871	3660351
335	127164	3657493
336	127472	3655106
337	127802	3653341
338	128200	3653515
339	128644	3655008
340	128971	3653173
341	129326	3652156
342	129629	3649661
343	130009	3649331
344	130463	3651097
345	130936	3653365
346	131492	3657914
347	131978	3660515
348	132410	3661597
349	132801	3661535
350	133141	3660061
351	133427	3657117
352	133714	3654238
353	134014	3651705
354	134316	3649241
355	134698	3648963
356	135034	3647450
357	135457	3648275
358	135908	3649851
359	136292	3649597
360	136622	3647945
361	136968	3646696
362	137283	3644622
363	137565	3641695
364	137873	3639495
365	138212	3638084
366	138544	3636501
367	138828	3633684
368	139228	3633892
369	139585	3632997
370	139819	3628900
371	140148	3627291
372	140408	3623905
373	140770	3623137
374	141074	3620912
375	141451	3620560
376	141763	3618531
377	142109	3617390
378	142422	3615431
379	142764	3614189
380	143157	3614261
381	143469	3612282
382	143813	3611120
383	144120	3609024
384	144413	3606595
385	144746	3605171
386	145117	3604689
387	145462	3603561
388	145764	3601394
389	146098	3600014
390	146426	3598489
391	146742	3596687
392	147098	3595868
393	147430	3594448
394	147802	3594037
395	148095	3591692
396	148463	3591164
397	148839	3590852
398	149117	3588175
399	149481	3587561
400	149805	3585991
401	150144	3584798
402	150430	3582333
403	150774	3581265
404	151122	3580290
405	151413	3577991
406	151934	3581101
407	152309	3580759
408	152790	3582912
409	153264	3584890
410	153727	3586607
411	154191	3588326
412	154704	3591176
413	154985	3588631
414	155379	3588710
415	155790	3589181
416	156067	3586561
417	156384	3584867
418	156762	3584582
419	157134	3584167
420	157472	3582969
421	157869	3583107
422	158260	3583131
423	158664	3583422
424	158966	3581427
425	159318	3580549
426	159627	3578712
427	159921	3576572
428	160220	3574530
429	160603	3574355
430	160955	3573515
431	161362	3573881
432	161701	3572749
